Epoch,Loss,PSNR,SSIM
1,0.03355671921966686,36.00892613316775,0.9368161085786261
2,0.02554676549154378,36.301345706327474,0.937026874439592
3,0.02471681834154186,36.57061780994814,0.940956429965004
4,0.024358043398353315,36.660188374927266,0.9412684945223785
5,0.023939978240412614,36.76730590780455,0.9415206437209664
6,0.023703203746117653,36.84211038506782,0.942482482995577
7,0.023479965987748333,36.76568183346455,0.9434163404124636
8,0.02342447717119718,36.74645207669744,0.9432351082333951
9,0.023162540094926954,37.04579056030397,0.9444494081468484
10,0.023130253613704726,37.085857042261324,0.9449144916631778
11,0.02297554347176282,36.97608255239153,0.9453471413419894
12,0.02296867980621755,36.83850399802716,0.9440349657569607
13,0.022806291217871366,37.19522501210783,0.9461172717449304
14,0.02280922054113554,37.130439640864665,0.9449475898657641
15,0.022685036238371616,37.22722981387037,0.9463884512825976
16,0.022616918455986748,37.07672091331606,0.945970464929901
17,0.022557513329333492,37.21885854503195,0.9459706483753975
18,0.022569239503216175,36.922006657909385,0.9460760187489652
19,0.022450602457060344,37.19888415565425,0.946034769122916
20,0.022414473264611195,37.27307634904803,0.9467379270277438
21,0.02240209017680692,37.331663548911926,0.9470007934311352
22,0.022315802743347983,37.25617268929316,0.9450935173212296
23,0.022281943845917425,37.38093554311479,0.9474038086812514
24,0.022241135324085396,37.39374594670384,0.9475828782313749
25,0.022192912174033977,37.39632484788577,0.9474343711080668
26,0.02217467096301594,37.40245383181008,0.9474781947470798
27,0.022096360767526285,37.409103910593295,0.9474068485122198
28,0.022103192293572993,37.26759403584231,0.9475286536294857
29,0.022027599916882103,37.377344233705514,0.9469072418576651
30,0.022045000656951395,37.38654718877541,0.9468215049142878
31,0.02182360379734919,37.48654769303878,0.9482524169428573
32,0.02182283817812623,37.49620506945027,0.9484020198127496
33,0.0218127492105677,37.48128759910622,0.9482101923658707
34,0.021807138141732487,37.50381166037053,0.9482537213419288
35,0.021776719727287334,37.51359575890338,0.9483811641584963
36,0.021761198772028797,37.51366060566566,0.9486208696448111
37,0.02174952310576503,37.51542393638804,0.9484573245324762
38,0.021728444275712328,37.54036746306207,0.9487004142348008
39,0.021714374905319085,37.52650613134699,0.9486003808086589
40,0.02169116183538877,37.56227301106977,0.9488408906482737
41,0.02168749251757704,37.551939521042414,0.9489084255267571
42,0.02166180782397056,37.56729151300811,0.9488267317241819
43,0.021640829297359145,37.57718030462813,0.9490226190454917
44,0.021643845311232975,37.54865863208406,0.9489725868835069
45,0.021625771987739774,37.57656929914586,0.9492577972961773
46,0.02161327278618479,37.588459015512804,0.9490825801696628
47,0.021595484672469044,37.57688238406827,0.9486401659052283
48,0.0215807850084578,37.58971048265685,0.9490533379246818
49,0.021566520104672582,37.592302375023245,0.9492275186009093
50,0.02155901175879297,37.59862023863016,0.9491620930069502
51,0.021544575034862474,37.60385799656864,0.9489611197214244
52,0.021533782545122362,37.60709669210304,0.949287876497351
53,0.02151925755842101,37.60466969801149,0.9490017641254728
54,0.021503085852600634,37.62078405131847,0.9494501815285235
55,0.021490467458386862,37.61073624512805,0.9493274222309798
56,0.02147783124819398,37.65273853494818,0.9495043273549391
57,0.021464425230043986,37.58152022940822,0.9490033568646744
58,0.021444579323620667,37.64551103093443,0.9497583397735313
59,0.021440115507825146,37.47221940168595,0.94825824632243
60,0.021432833872469408,37.61604522111485,0.9491029827177545
61,0.021340596927551643,37.65992288074847,0.9494610286772632
62,0.02134028079232112,37.670458158505355,0.9495254656270447
63,0.021331652573176794,37.68058106941526,0.949774849064169
64,0.021329778543717804,37.67381944561167,0.9497134968269072
65,0.021317505467283938,37.67004622325382,0.9494737558092563
66,0.02130991963093125,37.67800506934463,0.949696566289171
67,0.02131035320704714,37.67158743255576,0.9495592991527698
68,0.021296793128186393,37.66630224965562,0.9492614563718037
69,0.02129648765881679,37.67763919313977,0.9495404976263403
70,0.02128962328590985,37.685288974845086,0.9497402322060051
71,0.021281647551361294,37.69615504513896,0.9497480045986154
